Model,Completion Rate,Accuracy Once,Accuracy Range,Accuracy Periodic,Average Accuracy
Mistral-7B-Instruct-v0.2_maxlen16000,81.81288461538462,0.3103044496487119,0.3366459627329192,0.1165491497304023,0.2544998540373445
Qwen2-7B-Instruct_maxlen16000,59.9596153846154,0.3377374071015689,0.3713910761154855,0.191449814126394,0.3001927657811495
Meta-Llama-3.1-8B-Instruct_maxlen16000,93.51326923076932,0.3047001620745543,0.3333333333333333,0.1464808860307252,0.261504793812871
Mistral-7B-v0.3_maxlen16000,42.31076923076928,0.0809178743961352,0.2261306532663316,0.1669054441260745,0.1579846572628471
Qwen2-7B_maxlen16000,39.06884615384615,0.3491655969191271,0.3237410071942446,0.2329411764705882,0.3019492601946533
Meta-Llama-3.1-8B_maxlen16000,55.505961538461534,0.1204710144927536,0.1201248049921996,0.0686095931997571,0.1030684708949034
LongWriter-llama3.1-8b_maxlen16000,45.99307692307697,0.2783278327832783,0.340729001584786,0.1224137931034482,0.2471568758238375
Mistral-7B-Instruct-v0.2_maxlen32000,48.21774345741788,0.4976923076923077,0.421806167400881,0.2192550948699929,0.3795845233210606
Qwen2-7B-Instruct_maxlen32000,39.97315052682178,0.4839424141749723,0.3888888888888889,0.1890547263681592,0.3539620098106735
Meta-Llama-3.1-8B-Instruct_maxlen32000,77.59392842687107,0.4166666666666667,0.282863041982106,0.1641736592484494,0.2879011226324073
FILM-7B_maxlen32000,37.445409757269815,0.4321862348178137,0.4063400576368876,0.1545972335231895,0.3310411753259636
Qwen2-72B-Instruct_maxlen32000,66.20188953819304,0.3870307167235495,0.3147249190938511,0.1897106109324758,0.2971554155832921
FILM-7B_maxlen16000,36.0288461538462,0.081277213352685,0.1471571906354515,0.0967311541027351,0.1083885193636239
LongWriter-llama3.1-8b_maxlen32000,34.526729151646265,0.4656084656084656,0.4195121951219512,0.1979553903345725,0.36102535035499644
